disaster_type,spatial_unit,residential,non_residential,total_exposed_stock,rp,pml,loss_fraction
hurricane,region_44,688231.68,452638.33,1140870.02,100,306583.28,0.269
hurricane,region_45,575208.45,398532.68,973741.12,100,202624.9,0.208
hurricane,region_46,984957.2,460529.73,1445486.93,100,366912.1,0.254
hurricane,region_47,734346.58,353704.88,1088051.46,100,214716.84,0.197
hurricane,region_48,528187.75,466180.59,994368.34,100,249874.92,0.251
hurricane,region_49,999858.84,499159.21,1499018.05,100,338093.28,0.226
hurricane,region_50,884493.71,486191.43,1370685.14,100,349476.38,0.255
hurricane,region_51,623674.05,362636.03,986310.08,100,180411.84,0.183
hurricane,region_52,977025.51,401543.66,1378569.17,100,265876.75,0.193
hurricane,region_53,835850.34,404532.06,1240382.4,100,255290.88,0.206
hurricane,region_54,556778.8,417893.3,974672.09,100,216407.2,0.222
hurricane,region_55,886159.2,380040.88,1266200.07,100,323157.24,0.255
hurricane,region_56,775953.42,390234.49,1166187.91,100,300486.23,0.258
hurricane,region_57,701741.43,283503.81,985245.24,100,170327.49,0.173
hurricane,region_58,877568.63,405077.39,1282646.02,100,308358.33,0.24
hurricane,region_59,606482.08,284092.87,890574.95,100,152693.05,0.171
hurricane,region_60,675293.78,397479.42,1072773.2,100,224450.33,0.209
hurricane,region_61,718737.46,476039.67,1194777.13,100,244720.88,0.205
hurricane,region_62,756994.74,445913.25,1202908.0,100,252194.81,0.21
hurricane,region_63,811043.35,465590.93,1276634.28,100,338246.88,0.265
hurricane,region_0,573536.74,481646.91,1055183.65,250,421241.58,0.399
hurricane,region_1,629122.19,364783.94,993906.13,250,397562.45,0.4
hurricane,region_2,746309.05,332187.9,1078496.95,250,431398.78,0.4
hurricane,region_3,620072.81,268965.83,889038.64,250,322621.43,0.363
hurricane,region_4,564022.92,287975.67,851998.59,250,310027.56,0.364
hurricane,region_5,820437.37,295470.02,1115907.39,250,429140.86,0.385
hurricane,region_6,948394.2,368490.41,1316884.62,250,526753.85,0.4
hurricane,region_7,586159.94,298072.25,884232.19,250,313095.0,0.354
hurricane,region_8,584467.53,319647.58,904115.12,250,332444.08,0.368
hurricane,region_9,544351.27,280158.97,824510.23,250,326570.26,0.396
hurricane,region_10,603166.86,341067.47,944234.32,250,377693.73,0.4
hurricane,region_11,845197.41,259828.03,1105025.45,250,442010.18,0.4
hurricane,region_12,813950.19,270439.76,1084389.95,250,433755.98,0.4
hurricane,region_13,960436.2,265269.49,1225705.69,250,462934.04,0.378
hurricane,region_14,903100.64,437064.92,1340165.56,250,493786.82,0.368
hurricane,region_15,604674.66,342618.03,947292.69,250,377450.95,0.398
hurricane,region_16,809127.39,342228.41,1151355.8,250,456228.73,0.396
hurricane,region_17,873735.47,259170.8,1132906.27,250,425115.93,0.375
hurricane,region_18,856674.79,473801.71,1330476.5,250,532190.6,0.4
hurricane,region_19,766056.74,276793.0,1042849.75,250,411655.8,0.395
hurricane,region_20,766308.63,310617.63,1076926.26,250,405919.7,0.377
hurricane,region_21,688642.08,255017.8,943659.88,250,360674.28,0.382
hurricane,region_22,605724.0,331874.34,937598.34,250,339388.3,0.362
hurricane,region_23,945263.64,398398.11,1343661.75,250,537464.7,0.4
hurricane,region_24,894585.62,374610.55,1269196.17,250,455250.55,0.359
hurricane,region_25,768553.27,396710.28,1165263.55,250,466105.42,0.4
hurricane,region_26,715829.77,281895.08,997724.85,250,377516.72,0.378
hurricane,region_27,681541.15,411479.31,1093020.46,250,437208.18,0.4
hurricane,region_28,678048.36,496628.81,1174677.18,250,469870.87,0.4
hurricane,region_29,618613.4,275445.62,894059.01,250,326587.16,0.365
hurricane,region_30,622978.86,290170.34,913149.21,250,336638.58,0.369
hurricane,region_31,642547.58,293343.4,935890.98,250,374356.39,0.4
hurricane,region_32,540116.87,381127.85,921244.72,250,360243.24,0.391
hurricane,region_33,991189.31,278009.73,1269199.03,250,494715.46,0.39
hurricane,region_34,984735.22,466376.78,1451112.0,250,580444.8,0.4
hurricane,region_35,628951.41,292721.9,921673.31,250,368669.32,0.4
hurricane,region_36,964687.99,389190.72,1353878.72,250,541551.49,0.4
hurricane,region_37,639989.55,442373.23,1082362.78,250,399071.89,0.369
hurricane,region_38,661839.62,356359.11,1018198.73,250,407279.49,0.4
hurricane,region_39,621204.87,278709.21,899914.07,250,359965.63,0.4
hurricane,region_40,644315.28,395309.56,1039624.83,250,379916.62,0.365
hurricane,region_41,740570.05,383147.36,1123717.41,250,399124.59,0.355
hurricane,region_42,668302.14,283603.67,951905.81,250,339199.73,0.356
hurricane,region_43,994980.12,330588.46,1325568.58,250,530227.43,0.4
hurricane,region_44,627320.33,420375.68,1047696.01,250,419078.4,0.4
hurricane,region_45,797819.37,367894.05,1165713.42,250,456008.54,0.391
hurricane,region_46,674434.13,482382.29,1156816.42,250,462726.57,0.4
hurricane,region_47,982513.46,281074.31,1263587.76,250,505435.1,0.4
hurricane,region_48,969170.23,295308.27,1264478.49,250,450975.78,0.357
hurricane,region_49,870560.32,393618.28,1264178.6,250,505671.44,0.4
hurricane,region_50,569886.19,448816.83,1018703.02,250,377085.89,0.37
hurricane,region_51,581827.97,291066.45,872894.42,250,349157.77,0.4
hurricane,region_52,832598.61,380766.36,1213364.97,250,468216.97,0.386
hurricane,region_53,938600.27,348111.28,1286711.55,250,514684.62,0.4
hurricane,region_54,719567.45,344236.11,1063803.56,250,421551.29,0.396
hurricane,region_55,650688.94,436902.35,1087591.28,250,435036.51,0.4
hurricane,region_56,616106.35,474893.64,1090999.99,250,423732.53,0.388
hurricane,region_57,771776.43,476618.03,1248394.46,250,499357.78,0.4
hurricane,region_58,558449.02,484958.03,1043407.05,250,417362.82,0.4
hurricane,region_59,667452.81,284818.02,952270.83,250,380908.33,0.4
hurricane,region_60,810036.38,383365.27,1193401.65,250,477360.66,0.4
hurricane,region_61,894298.61,287918.72,1182217.33,250,450628.39,0.381
hurricane,region_62,624244.57,435986.57,1060231.14,250,374636.11,0.353
hurricane,region_63,784944.84,440614.67,1225559.51,250,490223.81,0.4
