disaster_type,spatial_unit,residential,non_residential,total_exposed_stock,rp,pml,loss_fraction
earthquake,region_7,612134.65,428044.81,1040179.46,50,201508.67,0.194
earthquake,region_8,662699.85,436622.85,1099322.7,50,258300.48,0.235
earthquake,region_9,924611.71,414403.22,1339014.93,50,303729.91,0.227
earthquake,region_10,546837.38,341928.95,888766.33,50,174660.57,0.197
earthquake,region_11,621994.82,493252.64,1115247.46,50,233432.19,0.209
earthquake,region_12,946023.28,407784.66,1353807.93,50,337749.53,0.249
earthquake,region_13,751318.55,394225.97,1145544.52,50,251162.66,0.219
earthquake,region_14,597621.49,430613.03,1028234.52,50,203669.85,0.198
earthquake,region_15,512157.98,411368.07,923526.06,50,173356.06,0.188
earthquake,region_16,970229.29,488482.14,1458711.44,50,381433.26,0.261
earthquake,region_17,685079.35,253864.15,938943.5,50,246784.26,0.263
earthquake,region_18,714092.07,491663.7,1205755.78,50,321167.52,0.266
earthquake,region_19,926504.73,323612.22,1250116.95,50,260661.6,0.209
earthquake,region_20,925568.34,329230.5,1254798.84,50,234583.73,0.187
earthquake,region_21,778400.63,484038.69,1262439.32,50,302484.22,0.24
earthquake,region_22,785030.59,274294.12,1059324.71,50,245234.44,0.232
earthquake,region_23,995026.93,285021.0,1280047.93,50,283956.83,0.222
earthquake,region_24,938686.54,435192.15,1373878.69,50,329320.88,0.24
earthquake,region_25,851242.04,339872.79,1191114.83,50,237459.68,0.199
earthquake,region_26,904680.58,452528.35,1357208.93,50,348405.35,0.257
earthquake,region_27,956620.28,377835.6,1334455.88,50,293782.64,0.22
earthquake,region_28,899147.59,412490.98,1311638.57,50,315051.24,0.24
earthquake,region_29,897896.33,472501.34,1370397.67,50,279286.38,0.204
earthquake,region_30,687791.48,273495.48,961286.96,50,219008.1,0.228
earthquake,region_31,517971.14,366399.5,884370.64,50,198332.91,0.224
earthquake,region_32,643270.63,397708.32,1040978.94,50,180141.43,0.173
earthquake,region_33,518674.09,455650.14,974324.23,50,200729.37,0.206
earthquake,region_34,563530.26,380560.82,944091.07,50,233189.89,0.247
earthquake,region_35,607910.51,405722.62,1013633.13,50,180968.73,0.179
earthquake,region_36,525840.86,382838.66,908679.52,50,203601.92,0.224
earthquake,region_37,818714.95,431522.83,1250237.78,50,334545.14,0.268
earthquake,region_38,758150.17,330739.12,1088889.29,50,271698.15,0.25
earthquake,region_39,635416.13,359742.86,995158.98,50,176984.68,0.178
earthquake,region_40,512675.37,490662.1,1003337.48,50,254444.39,0.254
earthquake,region_41,847987.1,352238.24,1200225.34,50,224837.53,0.187
earthquake,region_42,578218.52,312560.72,890779.25,50,200356.44,0.225
earthquake,region_43,857297.96,415049.34,1272347.31,50,251916.36,0.198
earthquake,region_44,977432.64,434474.23,1411906.87,50,318293.8,0.225
earthquake,region_45,805860.37,354900.02,1160760.39,50,226084.9,0.195
earthquake,region_46,677986.34,439461.53,1117447.87,50,191574.53,0.171
earthquake,region_47,558036.32,261500.66,819536.98,50,142659.16,0.174
earthquake,region_48,927730.29,425914.46,1353644.76,50,294305.9,0.217
earthquake,region_49,548917.08,372903.97,921821.05,50,200355.2,0.217
earthquake,region_50,586600.93,358462.91,945063.85,50,198322.1,0.21
earthquake,region_51,807925.05,408773.41,1216698.46,50,212350.87,0.175
earthquake,region_52,687306.31,406464.98,1093771.29,50,240972.72,0.22
earthquake,region_53,928244.92,414673.41,1342918.33,50,250176.88,0.186
earthquake,region_54,535284.37,410604.82,945889.19,50,163308.84,0.173
earthquake,region_55,792887.79,485057.56,1277945.35,50,290793.16,0.228
earthquake,region_56,694084.96,410822.05,1104907.02,50,238466.88,0.216
earthquake,region_57,772808.39,485366.2,1258174.6,50,262468.13,0.209
earthquake,region_58,980595.28,476337.66,1456932.94,50,276204.06,0.19
earthquake,region_59,534680.65,275194.5,809875.15,50,139154.52,0.172
earthquake,region_60,547221.48,420751.69,967973.17,50,171446.31,0.177
earthquake,region_61,659487.82,461218.83,1120706.64,50,193128.23,0.172
earthquake,region_62,907234.24,320463.69,1227697.93,50,223215.72,0.182
earthquake,region_63,848368.58,407235.71,1255604.29,50,323628.49,0.258
earthquake,region_0,867535.52,450870.23,1318405.75,100,353600.98,0.268
earthquake,region_1,588719.77,437653.69,1026373.46,100,329141.01,0.321
earthquake,region_2,995252.57,353154.42,1348406.99,100,373780.86,0.277
earthquake,region_3,888206.48,335200.89,1223407.37,100,407487.3,0.333
earthquake,region_4,929206.38,357248.51,1286454.88,100,405345.35,0.315
earthquake,region_5,877271.44,275780.97,1153052.4,100,380801.66,0.33
earthquake,region_6,752626.19,456614.37,1209240.55,100,328919.43,0.272
earthquake,region_7,947761.61,347300.42,1295062.03,100,312218.43,0.241
earthquake,region_8,952690.99,272821.67,1225512.66,100,333255.33,0.272
earthquake,region_9,975030.98,487651.79,1462682.77,100,434919.64,0.297
earthquake,region_10,815918.61,362111.38,1178029.99,100,317268.3,0.269
earthquake,region_11,664332.27,418129.61,1082461.89,100,341232.53,0.315
earthquake,region_12,895789.52,447404.54,1343194.06,100,334617.32,0.249
earthquake,region_13,747210.15,264389.69,1011599.84,100,298374.3,0.295
earthquake,region_14,720765.25,471926.05,1192691.3,100,328099.24,0.275
earthquake,region_15,558533.51,285747.92,844281.43,100,266920.47,0.316
earthquake,region_16,809109.03,275280.67,1084389.7,100,269373.98,0.248
earthquake,region_17,850484.57,268190.75,1118675.32,100,360421.53,0.322
earthquake,region_18,853121.11,270337.2,1123458.31,100,279161.16,0.248
earthquake,region_19,993319.79,343567.7,1336887.49,100,370403.68,0.277
earthquake,region_20,906399.78,486812.14,1393211.93,100,471741.71,0.339
earthquake,region_21,876689.09,344064.9,1220753.99,100,303174.34,0.248
earthquake,region_22,888573.46,389601.06,1278174.52,100,360984.86,0.282
earthquake,region_23,953177.19,277799.37,1230976.56,100,356075.37,0.289
earthquake,region_24,505676.82,367165.16,872841.98,100,214396.46,0.246
earthquake,region_25,559408.96,279381.56,838790.52,100,255764.87,0.305
earthquake,region_26,873022.44,395842.19,1268864.63,100,426614.18,0.336
earthquake,region_27,687435.29,321428.02,1008863.31,100,329756.97,0.327
earthquake,region_28,611797.92,490805.63,1102603.55,100,265965.01,0.241
earthquake,region_29,984939.41,260789.98,1245729.39,100,409987.37,0.329
earthquake,region_30,763850.55,498241.2,1262091.75,100,312215.82,0.247
earthquake,region_31,776927.14,492325.63,1269252.78,100,371015.01,0.292
earthquake,region_32,814699.32,423937.17,1238636.49,100,353573.87,0.285
earthquake,region_33,813779.04,396078.58,1209857.62,100,399393.12,0.33
earthquake,region_34,522723.19,320240.8,842963.99,100,282427.62,0.335
earthquake,region_35,945131.89,363914.19,1309046.08,100,395349.27,0.302
earthquake,region_36,638690.59,297030.29,935720.88,100,267962.24,0.286
earthquake,region_37,676676.11,395914.03,1072590.14,100,265759.37,0.248
earthquake,region_38,987197.4,496552.69,1483750.09,100,459689.77,0.31
earthquake,region_39,768048.18,327381.9,1095430.09,100,352048.78,0.321
earthquake,region_40,842365.59,290654.23,1133019.82,100,375134.61,0.331
earthquake,region_41,911268.62,487449.98,1398718.6,100,437200.2,0.313
earthquake,region_42,806707.6,354560.76,1161268.36,100,387019.21,0.333
earthquake,region_43,933031.94,261304.67,1194336.61,100,289789.89,0.243
earthquake,region_44,688231.68,452638.33,1140870.02,100,386444.18,0.339
earthquake,region_45,575208.45,398532.68,973741.12,100,270786.78,0.278
earthquake,region_46,984957.2,460529.73,1445486.93,100,468096.18,0.324
earthquake,region_47,734346.58,353704.88,1088051.46,100,290880.45,0.267
earthquake,region_48,528187.75,466180.59,994368.34,100,319480.71,0.321
earthquake,region_49,999858.84,499159.21,1499018.05,100,443024.55,0.296
earthquake,region_50,884493.71,486191.43,1370685.14,100,445424.34,0.325
earthquake,region_51,623674.05,362636.03,986310.08,100,249453.54,0.253
earthquake,region_52,977025.51,401543.66,1378569.17,100,362376.59,0.263
earthquake,region_53,835850.34,404532.06,1240382.4,100,342117.65,0.276
earthquake,region_54,556778.8,417893.3,974672.09,100,284634.24,0.292
earthquake,region_55,886159.2,380040.88,1266200.07,100,411791.24,0.325
earthquake,region_56,775953.42,390234.49,1166187.91,100,382119.38,0.328
earthquake,region_57,701741.43,283503.81,985245.24,100,239294.66,0.243
earthquake,region_58,877568.63,405077.39,1282646.02,100,398143.55,0.31
earthquake,region_59,606482.08,284092.87,890574.95,100,215033.3,0.241
earthquake,region_60,675293.78,397479.42,1072773.2,100,299544.46,0.279
earthquake,region_61,718737.46,476039.67,1194777.13,100,328355.28,0.275
earthquake,region_62,756994.74,445913.25,1202908.0,100,336398.37,0.28
earthquake,region_63,811043.35,465590.93,1276634.28,100,427611.28,0.335
earthquake,region_0,573536.74,481646.91,1055183.65,250,526759.95,0.499
earthquake,region_1,629122.19,364783.94,993906.13,250,496953.07,0.5
earthquake,region_2,746309.05,332187.9,1078496.95,250,539248.47,0.5
earthquake,region_3,620072.81,268965.83,889038.64,250,411525.29,0.463
earthquake,region_4,564022.92,287975.67,851998.59,250,395227.42,0.464
earthquake,region_5,820437.37,295470.02,1115907.39,250,540731.59,0.485
earthquake,region_6,948394.2,368490.41,1316884.62,250,658442.31,0.5
earthquake,region_7,586159.94,298072.25,884232.19,250,401518.22,0.454
earthquake,region_8,584467.53,319647.58,904115.12,250,422855.59,0.468
earthquake,region_9,544351.27,280158.97,824510.23,250,409021.29,0.496
earthquake,region_10,603166.86,341067.47,944234.32,250,472117.16,0.5
earthquake,region_11,845197.41,259828.03,1105025.45,250,552512.72,0.5
earthquake,region_12,813950.19,270439.76,1084389.95,250,542194.98,0.5
earthquake,region_13,960436.2,265269.49,1225705.69,250,585504.61,0.478
earthquake,region_14,903100.64,437064.92,1340165.56,250,627803.37,0.468
earthquake,region_15,604674.66,342618.03,947292.69,250,472180.22,0.498
earthquake,region_16,809127.39,342228.41,1151355.8,250,571364.31,0.496
earthquake,region_17,873735.47,259170.8,1132906.27,250,538406.56,0.475
earthquake,region_18,856674.79,473801.71,1330476.5,250,665238.25,0.5
earthquake,region_19,766056.74,276793.0,1042849.75,250,515940.77,0.495
earthquake,region_20,766308.63,310617.63,1076926.26,250,513612.33,0.477
earthquake,region_21,688642.08,255017.8,943659.88,250,455040.27,0.482
earthquake,region_22,605724.0,331874.34,937598.34,250,433148.13,0.462
earthquake,region_23,945263.64,398398.11,1343661.75,250,671830.88,0.5
earthquake,region_24,894585.62,374610.55,1269196.17,250,582170.17,0.459
earthquake,region_25,768553.27,396710.28,1165263.55,250,582631.78,0.5
earthquake,region_26,715829.77,281895.08,997724.85,250,477289.21,0.478
earthquake,region_27,681541.15,411479.31,1093020.46,250,546510.23,0.5
earthquake,region_28,678048.36,496628.81,1174677.18,250,587338.59,0.5
earthquake,region_29,618613.4,275445.62,894059.01,250,415993.07,0.465
earthquake,region_30,622978.86,290170.34,913149.21,250,427953.5,0.469
earthquake,region_31,642547.58,293343.4,935890.98,250,467945.49,0.5
earthquake,region_32,540116.87,381127.85,921244.72,250,452367.72,0.491
earthquake,region_33,991189.31,278009.73,1269199.03,250,621635.36,0.49
earthquake,region_34,984735.22,466376.78,1451112.0,250,725556.0,0.5
earthquake,region_35,628951.41,292721.9,921673.31,250,460836.66,0.5
earthquake,region_36,964687.99,389190.72,1353878.72,250,676939.36,0.5
earthquake,region_37,639989.55,442373.23,1082362.78,250,507308.17,0.469
earthquake,region_38,661839.62,356359.11,1018198.73,250,509099.36,0.5
earthquake,region_39,621204.87,278709.21,899914.07,250,449957.04,0.5
earthquake,region_40,644315.28,395309.56,1039624.83,250,483879.11,0.465
earthquake,region_41,740570.05,383147.36,1123717.41,250,511496.34,0.455
earthquake,region_42,668302.14,283603.67,951905.81,250,434390.31,0.456
earthquake,region_43,994980.12,330588.46,1325568.58,250,662784.29,0.5
earthquake,region_44,627320.33,420375.68,1047696.01,250,523848.0,0.5
earthquake,region_45,797819.37,367894.05,1165713.42,250,572579.89,0.491
earthquake,region_46,674434.13,482382.29,1156816.42,250,578408.21,0.5
earthquake,region_47,982513.46,281074.31,1263587.76,250,631793.88,0.5
earthquake,region_48,969170.23,295308.27,1264478.49,250,577423.63,0.457
earthquake,region_49,870560.32,393618.28,1264178.6,250,632089.3,0.5
earthquake,region_50,569886.19,448816.83,1018703.02,250,478956.19,0.47
earthquake,region_51,581827.97,291066.45,872894.42,250,436447.21,0.5
earthquake,region_52,832598.61,380766.36,1213364.97,250,589553.47,0.486
earthquake,region_53,938600.27,348111.28,1286711.55,250,643355.77,0.5
earthquake,region_54,719567.45,344236.11,1063803.56,250,527931.64,0.496
earthquake,region_55,650688.94,436902.35,1087591.28,250,543795.64,0.5
earthquake,region_56,616106.35,474893.64,1090999.99,250,532832.53,0.488
earthquake,region_57,771776.43,476618.03,1248394.46,250,624197.23,0.5
earthquake,region_58,558449.02,484958.03,1043407.05,250,521703.53,0.5
earthquake,region_59,667452.81,284818.02,952270.83,250,476135.41,0.5
earthquake,region_60,810036.38,383365.27,1193401.65,250,596700.83,0.5
earthquake,region_61,894298.61,287918.72,1182217.33,250,568850.12,0.481
earthquake,region_62,624244.57,435986.57,1060231.14,250,480659.23,0.453
earthquake,region_63,784944.84,440614.67,1225559.51,250,612779.76,0.5
